"source","target","developer_comments"
"tethys_description","<b>土卫三</>\n 土卫三是土星一颗明亮的冰卫星，拥有两个显著特征：巨大的伊萨卡峡谷系统和巨大的奥德修斯撞击坑。其低密度表明它几乎完全由水冰构成。",""
"mimas_description","<b>土卫一</>\n 土卫一是土星的另一颗卫星，因巨大的赫歇尔撞击坑而闻名，这个陨石坑使它看起来像《星球大战》中的“死星”。它主要由水冰构成，表面布满陨石坑。",""
"oberon_description","<b>天卫四</>\n 天卫四是天王星第二大卫星，表面黑暗且布满陨石坑，拥有多个大型撞击盆地。它可能拥有地下海洋，由冰和岩石的混合物组成。",""
"titania_description","<b>天卫三</>\n 天卫三是天王星最大的卫星，其表面显示出过去地质活动的证据，包括峡谷和断层系统。它的表面由冰和岩石混合组成，可能蕴藏着地下海洋。",""
"umbriel_description","<b>天卫二</>\n 天卫二是天王星最黑暗的主要卫星，因其布满陨石坑且表面古老。它主要由水冰和少量岩石物质组成，可能还含有甲烷冰。",""
"ariel_description","<b>天卫一</>\n 天卫一是天王星最明亮且地质活动最活跃的卫星之一，其表面布满山谷、断层陡坎和流动痕迹，相对年轻的表面表明其正在进行构造活动。",""
"miranda_description","<b>天卫五</>\n 天卫五是天王星的一颗小型卫星，以其戏剧性且多样的地形而闻名，包括峡谷、山脊和被称为“冠状构造”的大型断层陡坎。其表面由古老多陨石坑的区域和地质上较年轻的区域混合组成。",""
"eris_description","<b>阋神星</>\n 阋神星是太阳系中第二大的矮行星，位于海王星之外的散盘区域。它略小于冥王星，表面具有极高的反照率，可能覆盖着冻结的甲烷。",""
"makemake_description","<b>鸟神星</>\n 鸟神星是柯伊伯带中的一颗矮行星，表面明亮且富含冰，主要由甲烷、乙烷和氮组成。它没有显著的大气层，但已知至少拥有一颗卫星。",""
"pluto_description","<b>冥王星</>\n 冥王星是柯伊伯带中的一颗矮行星，表面多样且活跃，拥有氮冰平原、山脉以及可能的冰火山。其稀薄的大气主要由氮气组成，并含有微量的甲烷和一氧化碳。",""
"charon_description","<b>冥卫一</>\n 冥卫一是冥王星最大的卫星，大小约为冥王星的一半，与冥王星相互潮汐锁定，共同绕质心公转。它表面崎岖，拥有深邃的峡谷、红棕色的极地区域，并显示出过去地质活动的迹象。",""
"haumea_description","<b>妊神星</>\n 妊神星是柯伊伯带中的一颗矮行星，因其快速自转而呈细长的橄榄球形。其表面覆盖着结晶水冰，并拥有两颗小型卫星：妊卫一和妊卫二。",""
"proteus_description","<b>海卫八</>\n 海卫八是海王星最大的卫星之一，形状不规则，表面黑暗且布满陨石坑。其最大的陨石坑——法罗斯尤为显著，可能由水冰和岩石组成。",""
